total_cost_sec,cost_dollars,base_time_sec,weather,from,time_window_penalty_sec,distance_km,weather_penalty_sec,to,traffic_penalty_sec
6263.590146650086,104.39,2286.3,clear,0,3900,32.09,0.0,7,77.29014665008636
7902.022776928997,131.7,2043.9,storm,7,4680.0,27.33,1021.95,8,156.1727769289967
4353.032805897282,72.55,2826.9,rain,8,900.0,41.63,565.3799999999999,5,60.7528058972819
9144.3604543564,152.41,3323.5,clear,5,5700.0,51.98,0.0,3,120.86045435639875
12492.920379379222,208.22,4756.2,clear,3,7560.0,100.04,0.0,4,176.72037937922198
3908.529650361115,65.14,2393.1,clear,4,1380.0,35.81,0.0,2,135.42965036111488
7449.686654911395,124.16,3028.8,clear,2,4260.0,43.98,0.0,6,160.8866549113945
11072.342128510114,184.54,3127.1,clear,6,7860.0,59.29,0.0,1,85.24212851011362
7120.407864569102,118.67,2636.8,rain,1,3840.0,50.26,527.3599999999999,9,116.24786456910138
9755.829625925797,162.6,2863.5,storm,9,5340.0,52.82,1431.75,10,120.57962592579723
4604.144457229763,76.74,3167.7,snow,10,0,58.67,1267.0799999999997,0,169.36445722976362
