total_cost_sec,cost_dollars,base_time_sec,weather,from,time_window_penalty_sec,distance_km,weather_penalty_sec,to,traffic_penalty_sec
9788.085842224813,163.13,3706.1,fog,0,4860,72.76,1111.8300000000002,9,110.15584222481343
9912.044138079551,165.2,2863.5,rain,9,6360.0,52.82,572.6999999999998,10,115.84413807955082
7154.718932276434,119.25,2327.4,storm,10,3600.0,32.57,1163.7,7,63.618932276433824
6832.434922893181,113.87,1101.6,clear,7,5580.0,15.87,0.0,3,150.83492289318087
6865.76805233358,114.43,1973.2,fog,3,4200.0,35.58,591.9600000000002,8,100.6080523335799
4532.416752164082,75.54,2826.9,snow,8,420.0,41.63,1130.7599999999998,5,154.75675216408212
6633.832764849998,110.56,1601.1,snow,5,4260.0,26.22,640.4399999999998,6,132.29276484999787
11579.115621131283,192.99,3326.4,fog,6,7140.0,69.0,997.9200000000002,4,114.79562113128216
4465.599660854343,74.43,2393.1,snow,4,1020.0,35.81,957.2399999999998,2,95.25966085434283
14180.37084927152,236.34,5328.7,rain,2,7620.0,95.36,1065.7399999999998,1,165.93084927152003
2405.361716231866,40.09,1723.3,fog,1,0,27.66,516.99,0,165.07171623186582
