base_time_sec,distance_km,from,total_cost_sec,cost_dollars,weather,to,time_window_penalty_sec,traffic_penalty_sec,weather_penalty_sec
726.1,9.39,0,5720.501917588445,95.34,rain,6,4740,109.18191758844549,145.21999999999997
910,12.04,6,8911.965635735065,148.53,rain,1,7680.0,139.96563573506398,181.99999999999997
1027.8,12.74,1,5162.1606429423155,86.04,storm,7,3540.0,80.46064294231601,513.9
1736.7,30.91,7,7166.20841462332,119.44,clear,3,5280.0,149.50841462331982,0.0
691.3,10.53,3,8252.942007188976,137.55,storm,4,7080.0,135.99200718897646,345.65
908.8,12.99,4,2492.400611087914,41.54,clear,2,1500.0,83.60061108791395,0.0
2636.5,49.43,2,9600.689780140765,160.01,storm,10,5580.0,65.93978014076443,1318.25
648.7,6.81,10,4471.801270880436,74.53,clear,8,3720.0,103.10127088043619,0.0
279.2,2.92,8,4198.757188375668,69.98,fog,9,3660.0,175.797188375668,83.76
346.1,3.86,9,1290.2311976153935,21.5,storm,5,600.0,171.08119761539353,173.05
1609.8,25.15,5,2488.668211361434,41.48,storm,0,0,73.9682113614337,804.9
