base_time_sec,distance_km,from,total_cost_sec,cost_dollars,weather,to,time_window_penalty_sec,traffic_penalty_sec,weather_penalty_sec
1271,12.38,0,7624.249651920296,127.07,clear,10,6180,173.24965192029543,0.0
479.4,5.2,10,2105.713067760849,35.1,fog,5,1380.0,102.49306776084875,143.82000000000002
232.6,2.26,5,4723.616208089656,78.73,rain,8,4380.0,64.49620808965606,46.51999999999999
279.2,2.92,8,4697.788606236962,78.3,fog,9,4260.0,74.8286062369612,83.76
2384.2,43.51,9,8693.434123173127,144.89,snow,3,5280.0,75.55412317312643,953.6799999999997
691.3,10.53,3,8112.337959779354,135.21,snow,4,7080.0,64.51795977935397,276.5199999999999
908.8,12.99,4,2655.6086205267648,44.26,rain,2,1500.0,65.0486205267646,181.75999999999996
2223.7,42.32,2,5565.495687089604,92.76,clear,7,3180.0,161.79568708960466,0.0
1055.4,12.87,7,8763.712918752279,146.06,storm,1,7020.0,160.61291875227806,527.7
920,12.67,1,5271.5504441980565,87.86,fog,6,3900.0,175.55044419805657,276.00000000000006
809.8,10.11,6,1192.9270313183051,19.88,fog,0,0,140.18703131830506,242.94000000000003
