algorithm,order,stop_id,lat,lon
GA,0,0,44.003069999999994,-79.53301499999999
GA,1,1,44.01107,-79.447015
GA,2,2,44.05107,-79.447015
GA,3,4,44.01107,-79.507015
GA,4,5,43.95107,-79.507015
GA,5,6,44.03107,-79.547015
GA,6,9,44.05107,-79.587015
GA,7,10,43.97107,-79.647015
GA,8,8,44.01107,-79.587015
GA,9,7,43.97107,-79.547015
GA,10,3,43.97107,-79.507015
GA,11,0,44.003069999999994,-79.53301499999999
ACO,0,0,44.003069999999994,-79.53301499999999
ACO,1,5,43.95107,-79.507015
ACO,2,3,43.97107,-79.507015
ACO,3,1,44.01107,-79.447015
ACO,4,10,43.97107,-79.647015
ACO,5,8,44.01107,-79.587015
ACO,6,4,44.01107,-79.507015
ACO,7,7,43.97107,-79.547015
ACO,8,6,44.03107,-79.547015
ACO,9,2,44.05107,-79.447015
ACO,10,9,44.05107,-79.587015
ACO,11,0,44.003069999999994,-79.53301499999999
Hybrid,0,0,44.003069999999994,-79.53301499999999
Hybrid,1,4,44.01107,-79.507015
Hybrid,2,2,44.05107,-79.447015
Hybrid,3,1,44.01107,-79.447015
Hybrid,4,5,43.95107,-79.507015
Hybrid,5,10,43.97107,-79.647015
Hybrid,6,6,44.03107,-79.547015
Hybrid,7,9,44.05107,-79.587015
Hybrid,8,8,44.01107,-79.587015
Hybrid,9,7,43.97107,-79.547015
Hybrid,10,3,43.97107,-79.507015
Hybrid,11,0,44.003069999999994,-79.53301499999999
