algorithm,order,stop_id,lat,lon
GA,0,0,43.459070000000004,-79.72501500000001
GA,1,9,43.85107,-79.247015
GA,2,10,43.85107,-79.747015
GA,3,7,43.65107,-79.947015
GA,4,3,43.55107,-79.847015
GA,5,8,43.51107,-80.147015
GA,6,5,43.25107,-80.047015
GA,7,6,43.25107,-79.847015
GA,8,4,43.05107,-79.247015
GA,9,2,42.99107,-79.647015
GA,10,1,43.63107,-79.527015
GA,11,0,43.459070000000004,-79.72501500000001
ACO,0,0,43.459070000000004,-79.72501500000001
ACO,1,7,43.65107,-79.947015
ACO,2,8,43.51107,-80.147015
ACO,3,5,43.25107,-80.047015
ACO,4,3,43.55107,-79.847015
ACO,5,4,43.05107,-79.247015
ACO,6,2,42.99107,-79.647015
ACO,7,6,43.25107,-79.847015
ACO,8,1,43.63107,-79.527015
ACO,9,9,43.85107,-79.247015
ACO,10,10,43.85107,-79.747015
ACO,11,0,43.459070000000004,-79.72501500000001
Hybrid,0,0,43.459070000000004,-79.72501500000001
Hybrid,1,2,42.99107,-79.647015
Hybrid,2,4,43.05107,-79.247015
Hybrid,3,6,43.25107,-79.847015
Hybrid,4,5,43.25107,-80.047015
Hybrid,5,8,43.51107,-80.147015
Hybrid,6,7,43.65107,-79.947015
Hybrid,7,3,43.55107,-79.847015
Hybrid,8,10,43.85107,-79.747015
Hybrid,9,9,43.85107,-79.247015
Hybrid,10,1,43.63107,-79.527015
Hybrid,11,0,43.459070000000004,-79.72501500000001
