generation,GA,ACO,Hybrid
0,256424.9050973622,261831.00692523702,258046.56968570495
1,256424.9050973622,261439.75831783534,256970.4254615043
2,255021.5232159586,261439.75831783534,256481.9840406636
3,255021.5232159586,261439.75831783534,255936.38176835008
4,255021.5232159586,261439.75831783534,255675.30159330711
5,254815.81595978004,261439.75831783534,255675.30159330711
6,254815.81595978004,261439.75831783534,254319.02092570733
7,254815.81595978004,261439.75831783534,254319.02092570733
8,253996.1586074136,261439.75831783534,254319.02092570733
9,253996.1586074136,261439.75831783534,253893.65020600616
10,253996.1586074136,261439.75831783534,253796.10750776238
11,253992.08718812332,261439.75831783534,252747.63888437435
12,252602.8124711004,261439.75831783534,252747.63888437435
13,252602.8124711004,261439.75831783534,252747.63888437435
14,252602.8124711004,261439.75831783534,252747.63888437435
15,252322.0185967738,261439.75831783534,252881.1899347664
16,252141.59464906278,261439.75831783534,253116.5017238653
17,252141.59464906278,261439.75831783534,253079.92420271388
18,252141.59464906278,261439.75831783534,253001.4523283692
19,252141.59464906278,261439.75831783534,252910.20567905015
20,252141.59464906278,261439.75831783534,253139.42645477236
21,252141.59464906278,261439.75831783534,253171.22973091452
22,252141.59464906278,261439.75831783534,252884.52841542402
23,252141.59464906278,261439.75831783534,253125.0576341107
24,252141.59464906278,261439.75831783534,253045.2983997452
25,252141.59464906278,261439.75831783534,253246.9190045215
26,252141.59464906278,261439.75831783534,253246.9190045215
27,252141.59464906278,261439.75831783534,253040.40123838754
28,252141.59464906278,261439.75831783534,252384.51497670144
29,252141.59464906278,261439.75831783534,253182.6791380416
30,252141.59464906278,261439.75831783534,253297.1904985771
31,252141.59464906278,261439.75831783534,253267.8319325044
32,252141.59464906278,261439.75831783534,252761.23096938722
33,252141.59464906278,261439.75831783534,252761.23096938722
34,252141.59464906278,261439.75831783534,252761.23096938722
35,252141.59464906278,261439.75831783534,252811.5463241529
36,252141.59464906278,261439.75831783534,252811.5463241529
37,252141.59464906278,261439.75831783534,252847.72880706427
38,252141.59464906278,261439.75831783534,252847.72880706427
39,252141.59464906278,261439.75831783534,252847.72880706427
