generation,fitness
0,261831.00692523702
1,261439.75831783534
2,261439.75831783534
3,261439.75831783534
4,261439.75831783534
5,261439.75831783534
6,261439.75831783534
7,261439.75831783534
8,261439.75831783534
9,261439.75831783534
10,261439.75831783534
11,261439.75831783534
12,261439.75831783534
13,261439.75831783534
14,261439.75831783534
15,261439.75831783534
16,261439.75831783534
17,261439.75831783534
18,261439.75831783534
19,261439.75831783534
20,261439.75831783534
21,261439.75831783534
22,261439.75831783534
23,261439.75831783534
24,261439.75831783534
25,261439.75831783534
26,261439.75831783534
27,261439.75831783534
28,261439.75831783534
29,261439.75831783534
