generation,fitness
0,256424.9050973622
1,256424.9050973622
2,255021.5232159586
3,255021.5232159586
4,255021.5232159586
5,254815.81595978004
6,254815.81595978004
7,254815.81595978004
8,253996.1586074136
9,253996.1586074136
10,253996.1586074136
11,253992.08718812332
12,252602.8124711004
13,252602.8124711004
14,252602.8124711004
15,252322.0185967738
16,252141.59464906278
17,252141.59464906278
18,252141.59464906278
19,252141.59464906278
20,252141.59464906278
21,252141.59464906278
22,252141.59464906278
23,252141.59464906278
24,252141.59464906278
25,252141.59464906278
26,252141.59464906278
27,252141.59464906278
28,252141.59464906278
29,252141.59464906278
