generation,fitness
0,258046.56968570495
1,256970.4254615043
2,256481.9840406636
3,255936.38176835008
4,255675.30159330711
5,255675.30159330711
6,254319.02092570733
7,254319.02092570733
8,254319.02092570733
9,253893.65020600616
10,253796.10750776238
11,252747.63888437435
12,252747.63888437435
13,252747.63888437435
14,252747.63888437435
15,252881.1899347664
16,253116.5017238653
17,253079.92420271388
18,253001.4523283692
19,252910.20567905015
20,253139.42645477236
21,253171.22973091452
22,252884.52841542402
23,253125.0576341107
24,253045.2983997452
25,253246.9190045215
26,253246.9190045215
27,253040.40123838754
28,252384.51497670144
29,253182.6791380416
30,253297.1904985771
31,253267.8319325044
32,252761.23096938722
33,252761.23096938722
34,252761.23096938722
35,252811.5463241529
36,252811.5463241529
37,252847.72880706427
38,252847.72880706427
39,252847.72880706427
