generation,GA,ACO,Hybrid
0,90066.03352194361,94843.12948825452,87113.8346553845
1,90043.40634450482,93921.79114231175,85185.3626736864
2,87118.69119493404,92037.0115138199,86669.4856573641
3,87118.69119493404,91789.34343804362,86669.4856573641
4,87118.69119493404,90690.89638524968,86706.66631053886
5,87118.69119493404,90690.89638524968,85332.83404526573
6,85215.65771875202,89097.76190277262,82249.1167992912
7,85215.65771875202,89097.76190277262,82249.1167992912
8,85215.65771875202,89097.76190277262,82952.01473411478
9,82411.38809705891,89097.76190277262,82476.35377697865
10,82411.38809705891,89097.76190277262,82233.12456465603
11,82411.38809705891,89097.76190277262,81193.88171743607
12,82411.38809705891,89097.76190277262,81297.67957246695
13,82401.95365101016,89097.76190277262,81297.16648761705
14,82401.95365101016,89097.76190277262,79755.12830460028
15,82401.95365101016,89097.76190277262,81297.67957246695
16,82401.95365101016,89097.76190277262,79829.13033801131
17,82401.95365101016,89097.76190277262,79829.13033801131
18,82401.95365101016,86874.00914381469,80409.62501499038
19,82401.95365101016,86874.00914381469,80409.62501499038
20,82401.95365101016,86874.00914381469,81838.69175849429
21,82401.95365101016,86874.00914381469,80036.9720094713
22,82401.95365101016,86874.00914381469,79895.27552305917
23,82391.40352938506,86874.00914381469,79895.27552305917
24,82391.40352938506,86874.00914381469,80796.84336537046
25,82391.40352938506,86874.00914381469,81724.12255248585
26,82391.40352938506,86874.00914381469,81651.42188882531
27,82391.40352938506,86874.00914381469,80934.58002795652
28,82391.40352938506,86874.00914381469,80396.98983039215
29,82391.40352938506,86874.00914381469,79862.7361499459
30,82391.40352938506,86874.00914381469,80396.98983039215
31,82391.40352938506,86874.00914381469,81217.0118716869
32,82391.40352938506,86874.00914381469,79907.99403586746
33,82391.40352938506,86874.00914381469,79907.99403586746
34,82391.40352938506,86874.00914381469,79440.5501874678
35,82391.40352938506,86874.00914381469,81358.80533870618
36,82391.40352938506,86874.00914381469,81599.74021959185
37,82391.40352938506,86874.00914381469,81463.2579760586
38,82391.40352938506,86874.00914381469,81199.33425718975
39,82391.40352938506,86874.00914381469,81211.27214787863
