generation,fitness
0,94843.12948825452
1,93921.79114231175
2,92037.0115138199
3,91789.34343804362
4,90690.89638524968
5,90690.89638524968
6,89097.76190277262
7,89097.76190277262
8,89097.76190277262
9,89097.76190277262
10,89097.76190277262
11,89097.76190277262
12,89097.76190277262
13,89097.76190277262
14,89097.76190277262
15,89097.76190277262
16,89097.76190277262
17,89097.76190277262
18,86874.00914381469
19,86874.00914381469
20,86874.00914381469
21,86874.00914381469
22,86874.00914381469
23,86874.00914381469
24,86874.00914381469
25,86874.00914381469
26,86874.00914381469
27,86874.00914381469
28,86874.00914381469
29,86874.00914381469
