generation,fitness
0,90066.03352194361
1,90043.40634450482
2,87118.69119493404
3,87118.69119493404
4,87118.69119493404
5,87118.69119493404
6,85215.65771875202
7,85215.65771875202
8,85215.65771875202
9,82411.38809705891
10,82411.38809705891
11,82411.38809705891
12,82411.38809705891
13,82401.95365101016
14,82401.95365101016
15,82401.95365101016
16,82401.95365101016
17,82401.95365101016
18,82401.95365101016
19,82401.95365101016
20,82401.95365101016
21,82401.95365101016
22,82401.95365101016
23,82391.40352938506
24,82391.40352938506
25,82391.40352938506
26,82391.40352938506
27,82391.40352938506
28,82391.40352938506
29,82391.40352938506
