generation,fitness
0,87113.8346553845
1,85185.3626736864
2,86669.4856573641
3,86669.4856573641
4,86706.66631053886
5,85332.83404526573
6,82249.1167992912
7,82249.1167992912
8,82952.01473411478
9,82476.35377697865
10,82233.12456465603
11,81193.88171743607
12,81297.67957246695
13,81297.16648761705
14,79755.12830460028
15,81297.67957246695
16,79829.13033801131
17,79829.13033801131
18,80409.62501499038
19,80409.62501499038
20,81838.69175849429
21,80036.9720094713
22,79895.27552305917
23,79895.27552305917
24,80796.84336537046
25,81724.12255248585
26,81651.42188882531
27,80934.58002795652
28,80396.98983039215
29,79862.7361499459
30,80396.98983039215
31,81217.0118716869
32,79907.99403586746
33,79907.99403586746
34,79440.5501874678
35,81358.80533870618
36,81599.74021959185
37,81463.2579760586
38,81199.33425718975
39,81211.27214787863
