generation,fitness
0,64998.06331511502
1,64998.06331511502
2,64998.06331511502
3,63381.1663783221
4,63381.1663783221
5,63381.1663783221
6,63381.1663783221
7,63381.1663783221
8,62244.460400123484
9,62244.460400123484
10,62244.460400123484
11,62244.460400123484
12,62244.460400123484
13,62244.460400123484
14,62244.460400123484
15,62244.460400123484
16,62244.460400123484
17,62244.460400123484
18,62095.61744334882
19,62095.61744334882
20,62095.61744334882
21,62095.61744334882
22,62095.61744334882
23,62095.61744334882
24,62095.61744334882
25,62095.61744334882
26,62095.61744334882
27,62095.61744334882
28,62095.61744334882
29,62095.61744334882
