generation,fitness
0,65156.0202306557
1,63752.880073521985
2,63752.880073521985
3,62412.25634418616
4,62128.15924420022
5,62128.15924420022
6,62128.15924420022
7,62128.15924420022
8,61425.67297145114
9,61425.67297145114
10,60410.02201867004
11,60410.02201867004
12,60410.02201867004
13,60115.47854999772
14,60115.47854999772
15,60115.47854999772
16,60115.47854999772
17,60115.47854999772
18,60115.47854999772
19,59869.454309513516
20,59193.86549618583
21,59193.86549618583
22,59193.86549618583
23,59193.86549618583
24,58706.880184482936
25,58706.880184482936
26,58706.880184482936
27,58706.880184482936
28,58706.880184482936
29,58475.65718822934
