generation,fitness
0,62641.565395386104
1,61311.183461247456
2,61311.183461247456
3,61731.69274824557
4,61470.1978440764
5,61413.485087128436
6,61413.485087128436
7,61466.92628144677
8,61184.00791029335
9,60908.96311975312
10,61233.08814925965
11,60104.63057049808
12,60104.63057049808
13,59314.25008483311
14,59233.90519204362
15,60118.63481322972
16,59861.24076048857
17,59687.71205222852
18,59687.71205222852
19,60168.326630891344
20,60489.25085419895
21,59573.738821399704
22,59573.738821399704
23,59870.5510255663
24,59488.317557389106
25,60252.63240711933
26,60331.72241515223
27,59482.19454291522
28,59482.19454291522
29,59260.14427335927
30,60192.43468894949
31,59220.75324514992
32,59220.75324514992
33,59517.31665999429
34,59620.76561104305
35,59724.470674160926
36,59724.470674160926
37,59724.470674160926
38,59724.470674160926
39,59395.01446767433
